Gender, First Name, Last Name, Birthday, Address, City, ST, Zip, Credit Card, Balance
male, William, Johnson, 7/18/1960, 1399 Fairway Drive, Smith River , CA, 95567, Visa, 15747.26
male, Charles, Hamilton, 5/28/1949, 2879 Fidler Drive, Atascosa , TX, 78002, MasterCard, 4984.28
male, Paul, Barker, 12/12/1979, 1077 Cedar Street, Hardy , AR, 72542, Discover, 0.00
female, Laurie, Miller, 7/27/1952, 3547 Lightning Point Drive, Covington , TN, 38019, Visa, 0.00
male, William, Schulz, 7/25/1944, 672 Coventry Court, Baton Rouge , LA, 70806, Visa, 3035.41
male, James, Rundle, 10/9/1958, 2287 Upton Avenue, Brewer , ME, 04412, MasterCard, 0.00
female, Maybell, Moore, 11/1/1977, 172 Oakdale Avenue, Arcadia , FL, 33821, Discover, 2813.10
female, Rhoda, Gaither, 12/25/1973, 832 Feathers Hooves Drive, Setauket , NY, 11783, Visa, 1864.83
female, Alison, Booker, 1/31/1972, 3644 Sarah Drive, Lake Charles , LA, 70601, Discover, 9246.75
male, Gene, Gold, 3/2/1957, 2683 Horner Street, Demopolis , AL, 36732, MasterCard, 3588.86
male, Robert, Cookson, 5/27/1942, 3647 Saint Francis Way, Eagleville , PA, 19403, MasterCard, 7508.04
female, Jessica, Hughes, 1/7/1947, 125 Patterson Street, Houston , TX, 77063, Visa, 0.00
male, Mike, Moore, 11/28/1957, 3645 Broadcast Drive, Charlotte , NC, 28208, Visa, 9184.04
female, Monica, Halpin, 6/29/1958, 4008 Fancher Drive, Dallas , TX, 75247, MasterCard, 6603.88
male, Paul, Barrett, 12/14/1958, 1842 Chandler Drive, Joplin , MO, 64801, MasterCard, 0.00
male, Arthur, Carlson, 12/23/1956, 860 Wildrose Lane, Detroit , MI, 48224, Visa, 7167.41
male, Jerry, Copley, 7/4/1952, 4333 Chicago Avenue, Ash Mountain , CA, 93262, Visa, 3645.52
male, Richard, Steele, 8/10/1957, 4453 Bicetown Road, New York , NY, 10013, Visa, 2478.47
female, Veta, Seay, 6/18/1985, 2951 Rafe Lane, Jackson , MS, 39201, Discover, 7742.82
male, Scott, Lewis, 1/29/1968, 506 Tetrick Road, Avon Park , FL, 33825, MasterCard, 2697.00
male, Kevin, Cline, 3/1/1961, 4483 Eagle Street, Carbondale , IL, 62901, Discover, 0.00
male, Nelson, Pooler, 7/5/1960, 129 Camden Place, Myrtle Beach , SC, 29579, Visa, 7073.07
female, Maria, Galvin, 12/1/1967, 1777 Reppert Coal Road, Jackson , MS, 39201, Visa, 13836.60
male, Andrew, Hafford, 8/3/1947, 4089 Comfort Court, Madison , WI, 53704, Visa, 6104.83
male, Kristopher, Gomez, 6/13/1941, 3034 Johnny Lane, New Berlin , WI, 53151, Visa, 11822.15
male, Austin, Langford, 2/13/1954, 3084 Joyce Street, Rocky Mount , NC, 27804, MasterCard, 2703.19
male, Michael, Cottrell, 8/9/1943, 1859 Traders Alley, Kansas City , MO, 64105, Visa, 8718.52
male, Marion, Alvarez, 9/20/1981, 4583 Radford Street, Louisville , KY, 40242, Visa, 8202.95
female, Donna, Crane, 3/3/1952, 3792 Round Table Drive, Felicity , OH, 45120, MasterCard, 0.00
female, Anna, Watts, 2/27/1949, 2845 Levy Court, Westminster , MA, 01473, Visa, 0.00
female, Claudia, Pauley, 6/12/1944, 90 Woodridge Lane, Memphis , TN, 38104, Visa, 13620.69
female, Evia, Dubin, 10/4/1960, 3353 Driftwood Road, Santa Clara , CA, 95054, Discover, 5318.75
male, Eugene, Boisvert, 12/23/1964, 3234 Kennedy Court, Cambridge , MA, 02141, MasterCard, 11683.01
female, Claudia, Lefebvre, 6/28/1952, 1357 Court Street, Stlouis , MO, 63101, MasterCard, 0.00
male, Dale, Messer, 11/9/1985, 4116 Gorby Lane, Jackson , MS, 39201, MasterCard, 0.00
male, Willie, Smith, 4/6/1951, 804 Denver Avenue, Moreno Valley , CA, 92553, Discover, 0.00
female, Peggy, Chaney, 2/13/1942, 2563 West Drive, Chicago , IL, 60601, Discover, 7413.71
female, Telma, Fleming, 5/21/1966, 305 Heliport Loop, Elnora , IN, 47529, Visa, 5431.07
male, Larry, Reyes, 11/29/1971, 2276 Duff Avenue, West Burke , VT, 05871, MasterCard, 0.00
male, Alvin, Dillon, 8/14/1985, 3686 Kidd Avenue, Anchorage , AK, 99501, Visa, 4047.21
female, Yvonne, Ivey, 3/4/1970, 2047 Bel Meadow Drive, Colton , CA, 92324, Visa, 1171.50
male, Jerry, Rogers, 8/10/1983, 4824 Morningview Lane, New York , NY, 10013, Discover, 0.00
female, Kimberley, Garcia, 2/26/1982, 4189 Huntz Lane, Lunenburg , MA, 01462, MasterCard, 9966.23
male, Paul, Bryant, 1/14/1978, 4731 Kennedy Court, Westborough , MA, 01581, Discover, 2880.14
female, Joy, Fleming, 10/2/1945, 3006 Washington Street, Corpus Christi , TX, 78476, MasterCard, 10037.20
female, Alice, Bird, 12/13/1956, 3594 Davis Lane, Centennial , CO, 80112, Visa, 4677.60
female, Mary, Maldonado, 12/27/1976, 3198 Illinois Avenue, Oregon City , OR, 97045, Visa, 5957.35
female, Beata, Kendall, 5/11/1953, 3153 Par Drive, Carpinteria , CA, 93013, MasterCard, 4312.75
male, David, Foley, 2/7/1946, 589 Sarah Drive, Lafayette , LA, 70506, Visa, 10430.18
female, Jean, Wilson, 9/24/1964, 3014 Birch Street, Indianapolis , IN, 46268, MasterCard, 5655.14
female, Melba, Henderson, 6/14/1967, 729 Petunia Way, Birmingham , AL, 35209, MasterCard, 3836.66
male, Glenn, Lane, 8/19/1978, 2874 Hall Valley Drive, Beckley , WV, 25801, Visa, 1543.02
male, David, George, 4/20/1943, 1106 Washington Street, Corpus Christi , TX, 78476, MasterCard, 5204.52
male, James, Cherry, 4/13/1963, 1781 Hilltop Haven Drive, Jersey City , NJ, 07305, MasterCard, 2581.53
female, Natasha, Martinez, 10/27/1977, 3603 Hillside Street, Tempe , AZ, 85281, Discover, 0.00
female, Priscilla, Hollman, 12/1/1953, 3827 Coolidge Street, Billings , MT, 59102, MasterCard, 13664.40
male, Jack, Lee, 6/9/1980, 3037 Benson Street, Marengo , WI, 54855, Visa, 0.00
female, Amanda, Allen, 9/28/1942, 1551 Jehovah Drive, Staunton , VA, 24401, Visa, 2205.84
male, Frank, Sanchez, 5/11/1943, 4034 Summit Street, Clermont , IA, 52135, MasterCard, 2722.81
male, Jeffrey, Moore, 1/14/1972, 2688 Farnum Road, New York , NY, 10019, Discover, 7427.28
male, James, Doyle, 8/16/1983, 2824 Carriage Lane, Scranton , PA, 18503, MasterCard, 6931.58
female, Mary, Boatman, 5/19/1940, 4837 Hope Street, Beaverton , OR, 97008, MasterCard, 0.00
male, William, Elliott, 3/7/1953, 1036 August Lane, Alexandria , LA, 71301, MasterCard, 5187.36
male, Kevin, Pritchett, 11/6/1956, 4490 Kinney Street, Springfield , MA, 01109, MasterCard, 6480.73
male, John, Gallardo, 7/20/1944, 2 Red Dog Road, Charlotte , NC, 28208, Discover, 0.00
female, Angela, Smith, 11/18/1947, 1569 Poplar Street, Oak Park , IL, 60300, MasterCard, 9469.80
male, Edwin, Taylor, 9/29/1954, 3540 Adonais Way, Atlanta , GA, 30318, Visa, 6166.68
male, John, Lacy, 4/19/1962, 4343 Duke Lane, New Brunswick , NJ, 08901, MasterCard, 0.00
male, Lawrence, Dominguez, 12/28/1952, 4199 Michigan Avenue, Mars , PA, 16046, Visa, 0.00
female, Lorrie, Lucero, 11/22/1961, 321 Patterson Street, Houston , TX, 77002, MasterCard, 6606.82
male, Nathaniel, Hernandez, 6/6/1973, 4855 Turkey Pen Road, New York , NY, 10019, Visa, 11490.57
male, Travis, Meaux, 2/5/1967, 3093 Harvest Lane, Bakersfield , CA, 93301, Discover, 5562.56
male, Mark, Green, 1/30/1985, 3633 Willison Street, San Diego , CA, 92123, Visa, 1489.33
female, Evelynn, Costales, 11/6/1956, 294 Stratford Court, Garner , NC, 27529, Visa, 4590.58
male, Ryan, Mendoza, 12/6/1971, 1468 Goff Avenue, Three Rivers , MI, 49093, Visa, 1264.37
male, Joseph, Howell, 12/12/1955, 2961 Arlington Avenue, Maryville , TN, 37801, MasterCard, 9575.95
male, Michael, Alvord, 5/11/1961, 3674 Oak Street, Pulaski , NY, 13142, MasterCard, 15773.50
female, Pamela, Black, 5/3/1984, 4883 South Street, Big Canyon , TX, 79848, MasterCard, 8185.00
male, James, Harrell, 10/22/1949, 3753 Settlers Lane, New York , NY, 10013, Visa, 25797.00
female, Cynthia, Silva, 3/25/1952, 55 West Virginia Avenue, Albany , NY, 12203, MasterCard, 4966.05
male, John, Rice, 11/2/1976, 629 Daylene Drive, Southfield , MI, 48075, Discover, 3645.88
female, Tiffani, Johnstone, 9/19/1972, 3881 Melrose Street, Millwood , WA, 99212, Visa, 6541.65
female, Jessica, Rogers, 4/14/1974, 1222 Harper Street, Madisonville , KY, 42431, Visa, 0.00
male, Richard, Taylor, 6/26/1948, 3096 Ashford Drive, Fredericksburg , VA, 22408, Discover, 2228.99
female, Vera, Hanson, 10/29/1965, 4835 Deer Haven Drive, Greenville , SC, 29609, Visa, 15714.91
female, Ruth, Dubois, 5/20/1963, 716 Huntz Lane, Billerica , MA, 01821, MasterCard, 4214.40
male, William, Sammons, 8/26/1956, 1341 Lynn Avenue, Green Bay , WI, 54303, Discover, 0.00
male, Eric, Burt, 6/6/1946, 4256 Euclid Avenue, San Luis Obispo , CA, 93401, MasterCard, 5388.53
female, Cynthia, Stanley, 9/13/1971, 493 Richison Drive, Billings , MT, 59101, Visa, 16394.34
female, Wanda, Nicholson, 7/12/1984, 1279 Hilltop Haven Drive, Newark , NJ, 07102, Visa, 7672.22
male, Mitchell, Hilliker, 12/11/1957, 324 Saint Marys Avenue, Syracuse , NY, 13202, MasterCard, 2653.16
male, Shane, Mixon, 6/28/1968, 4636 Franklee Lane, Paoli , PA, 19301, MasterCard, 7450.46
male, Jeffrey, Howard, 2/16/1979, 3854 White Lane, Forsyth , GA, 31029, Visa, 11298.81
female, Karen, Lantz, 3/11/1955, 2842 Newton Street, Montevideo , MN, 56265, Visa, 13016.31
female, Melisa, Terry, 12/10/1981, 367 Pearcy Avenue, Milwaukee , WI, 53217, Visa, 7958.68
male, Keith, Brown, 1/20/1953, 3311 Traction Street, Abbeville , SC, 29620, Visa, 20879.15
female, Jasmine, Howes, 8/21/1942, 3870 Science Center Drive, Soda Springs , ID, 83276, Visa, 22203.98
female, Etta, Meyer, 2/26/1951, 4473 Traction Street, Piedmont , SC, 29673, MasterCard, 0.00
female, Juanita, Brown, 9/1/1946, 4494 Eastland Avenue, Jackson , MS, 39201, Discover, 0.00
female, Cheryl, Yang, 5/31/1976, 44 Patterson Road, Bronx , NY, 10467, Visa, 0.00
male, Steve, Morrison, 5/19/1965, 4249 Grey Fox Farm Road, Houston , TX, 77038, MasterCard, 8992.86
male, James, Lee, 9/26/1973, 4887 Station Street, Hayward , CA, 94541, MasterCard, 11194.35
male, Charles, Baker, 1/11/1985, 3076 Tecumsah Lane, Benton , LA, 71006, MasterCard, 7140.16
male, Michael, Wallace, 7/17/1973, 1226 Pine Garden Lane, Atlanta , GA, 30339, Discover, 5623.50
female, Beverly, Gleason, 7/3/1971, 2786 Commerce Boulevard, Lincoln , NE, 68508, MasterCard, 11889.29
female, Betty, Proctor, 1/9/1977, 447 Clifford Street, Oakland , CA, 94609, MasterCard, 1402.62
female, Laurel, Cortes, 9/12/1952, 906 Limer Street, Augusta , GA, 30901, Visa, 10372.31
female, Rebecca, Drummond, 9/6/1975, 3462 West Virginia Avenue, Chazy , NY, 12921, MasterCard, 7540.31
female, Lauren, Calhoon, 6/10/1961, 4575 Hidden Meadow Drive, Grace City , ND, 58445, MasterCard, 12713.96
male, Robert, Lopez, 7/4/1974, 4169 Stratford Court, Sanford , NC, 27330, Visa, 0.00
male, Stanley, Elsea, 9/4/1946, 3287 Briarhill Lane, Medina , OH, 44256, Discover, 9052.92
female, Ellen, Boulanger, 11/20/1983, 1538 Bastin Drive, Philadelphia , PA, 19108, Visa, 2390.64
male, Brian, Fenton, 10/19/1967, 868 Raintree Boulevard, Kokomo , IN, 46901, Discover, 0.00
female, Carol, Markham, 12/9/1962, 2670 Jehovah Drive, Front Royal , VA, 22630, MasterCard, 0.00
female, Jane, Young, 8/14/1953, 430 Stuart Street, Gibsonia , PA, 15044, MasterCard, 4994.72
female, Dawn, Robb, 1/2/1980, 3365 Fairfield Road, Kenosha , WI, 53140, MasterCard, 3350.65
female, Maria, Wallace, 6/25/1955, 1718 Olen Thomas Drive, Gainesville , TX, 76240, Visa, 14926.35
female, Ruth, Palmer, 9/9/1972, 2107 Levy Court, Worcester , MA, 01610, MasterCard, 4043.20
female, Susan, Osborne, 7/31/1952, 483 Cedar Street, Moro , AR, 72368, MasterCard, 6312.35
female, Dawn, Cramer, 6/6/1957, 207 Beeghley Street, Waco , TX, 76706, Visa, 10817.94
male, William, Rivera, 4/6/1951, 2232 Lincoln Drive, York , PA, 17401, Visa, 8381.67
female, Lacey, Johnson, 7/25/1964, 4094 Camden Place, Charleston , SC, 29424, MasterCard, 0.00
female, Adelina, Spence, 5/21/1973, 471 Rocky Road, Philadelphia , PA, 19141, Discover, 0.00
male, Troy, Korn, 12/28/1969, 2243 Bond Street, Providence , RI, 02908, Discover, 0.00
male, Thomas, Schiller, 1/25/1977, 3429 Brooke Street, Houston , TX, 77002, Discover, 5921.63
female, Dionna, Ebert, 12/10/1951, 1184 Woodland Avenue, Bogalusa , LA, 70427, Visa, 13820.70
male, Ernie, Herbert, 6/30/1967, 3073 Cameron Road, Ellington , NY, 14732, Visa, 13727.55
male, Kenneth, Grove, 10/22/1953, 4073 Quilly Lane, Upper Arlington , OH, 43221, Discover, 1358.66
female, Pamela, Wilson, 4/11/1959, 1416 Chipmunk Lane, Hanover , ME, 21076, Visa, 3960.38
female, Caryn, Garcia, 5/18/1941, 1149 Calvin Street, Baltimore , MD, 21201, MasterCard, 8514.66
male, Richard, Bruno, 4/16/1979, 3251 Camel Back Road, Boley , OK, 74829, Visa, 9669.87
male, Matt, Espinosa, 11/23/1962, 1126 Smith Road, Marble Hill , GA, 30151, Visa, 5581.75
male, Randal, Mcbride, 6/3/1974, 425 Boggess Street, Denton , TX, 76201, Discover, 2262.28
female, Marilyn, Park, 4/15/1964, 2925 McVaney Road, Asheville , NC, 28801, Visa, 8707.50
female, Addie, Cook, 1/23/1942, 4382 Eagle Drive, Southfield , MI, 48075, Visa, 2229.19
female, Petra, Olivares, 10/21/1970, 2123 Briarhill Lane, Cuyahoga Falls , OH, 44221, Discover, 0.00
male, Floyd, Hughes, 12/19/1953, 364 Watson Lane, Hickory , NC, 28601, MasterCard, 4135.19
male, William, Hines, 1/5/1964, 4940 Haven Lane, Lansing , MI, 48906, MasterCard, 2419.08
male, Arthur, Foster, 10/9/1953, 2224 Burwell Heights Road, Beaumont , TX, 77701, Visa, 1146.10
male, Jeffrey, Warren, 10/23/1968, 2885 Henry Ford Avenue, Sapulpa , OK, 74564, MasterCard, 5881.90
male, Edward, Chan, 3/20/1967, 3761 Kemper Lane, Salt Lake City , UT, 84104, MasterCard, 16185.35
female, Beth, Hawkes, 5/29/1949, 2941 Keyser Ridge Road, Greensboro , NC, 27406, MasterCard, 12000.49
male, Richard, Tincher, 12/12/1949, 3279 Clover Drive, Colorado Springs , CO, 80904, MasterCard, 2762.59
male, John, Campbell, 12/23/1947, 4677 Still Street, Metamora , OH, 43540, MasterCard, 8195.23
male, Benjamin, Funk, 1/30/1943, 728 Buck Drive, Stowe , VT, 05672, Visa, 17146.98
male, James, Pfeffer, 6/2/1983, 2716 Front Street, Carsonville , MI, 48419, Visa, 1025.30
female, Cynthia, Granado, 10/27/1981, 3532 Village View Drive, Mount Airy , MD, 21771, MasterCard, 6273.88
male, Brent, French, 5/4/1964, 3376 George Street, Chiefland , FL, 32626, Discover, 4359.88
male, Jose, Toohey, 9/23/1952, 4014 Grant View Drive, Milwaukee , WI, 53213, MasterCard, 0.00
male, Donald, Campbell, 12/17/1984, 962 Willis Avenue, Port Orange , FL, 32129, Discover, 7272.67
male, Leon, Abrams, 3/12/1941, 205 Roane Avenue, Rockville , MD, 20852, Visa, 0.00
female, Jolie, Kim, 12/29/1947, 2446 Coleman Avenue, San Marcos , CA, 92069, Discover, 2908.85
male, David, Davis, 2/15/1977, 3771 Millbrook Road, Schaumburg , IL, 60173, MasterCard, 12946.38
male, William, Bell, 10/4/1965, 4181 Arlington Avenue, Camden , AR, 71701, Discover, 0.00
male, Lawrence, Allen, 4/14/1954, 1581 Bedford Street, Stamford , CT, 06902, Visa, 0.00
female, Jennifer, Fritz, 10/1/1973, 17 Mattson Street, Portland , OR, 97229, Visa, 11799.81
female, Stella, Grant, 5/31/1975, 3735 Ingram Road, Greensboro , NC, 27401, Visa, 10699.52
female, Diann, Prom, 10/21/1966, 3897 Woodland Terrace, Folsom , CA, 95630, MasterCard, 6217.02
female, Heidi, Torres, 2/28/1955, 2550 Joanne Lane, Shirley , MA, 01464, MasterCard, 12342.05
female, Carla, Greene, 12/8/1979, 2981 Meadowcrest Lane, Somerset , KY, 42501, MasterCard, 0.00
male, Daniel, Garett, 10/10/1982, 3692 Commerce Boulevard, Lincoln , NE, 68501, MasterCard, 6847.18
female, Louise, Snyder, 6/29/1946, 2708 Mulberry Street, Conroe , TX, 77301, Visa, 10653.63
male, James, Vasser, 9/23/1960, 512 Browning Lane, Madison , WI, 53703, MasterCard, 0.00
female, Helen, Salcido, 4/24/1970, 4305 Davisson Street, Boswell , IN, 47921, Visa, 0.00
female, Tara, Lawrence, 7/18/1985, 3173 Essex Court, Manchester , VT, 05254, Visa, 4355.63
female, Sheri, Gregg, 4/19/1944, 154 Old House Drive, Pataskala , OH, 43062, Discover, 5729.21
female, Michelle, Wood, 2/14/1947, 1726 Browning Lane, Madison , WI, 53716, Discover, 6308.93
female, Helen, Reed, 6/11/1957, 1393 Isaacs Creek Road, Mansfield , IL, 61854, MasterCard, 8729.64
male, Jose, Jacobson, 7/26/1944, 4208 Star Trek Drive, Pensacola , FL, 32501, Visa, 17810.06
female, Jeannie, Willis, 11/15/1950, 4305 Pinewood Drive, Buffalo Grove , IL, 60089, Discover, 1509.07
female, Kelly, Conner, 3/19/1962, 4873 McDowell Street, Nashville , TN, 37210, MasterCard, 0.00
female, Miriam, Jacobs, 4/23/1941, 4588 Cody Ridge Road, Arkansas City , OK, 67005, Visa, 10018.33
female, Debra, Shultz, 10/23/1981, 3310 Hide A Way Road, Santa Clara , CA, 95054, Discover, 5364.47
male, Rodney, Anderson, 7/20/1978, 1826 West Side Avenue, Rochelle Park , NJ, 07662, Visa, 14634.57
male, Damien, Hale, 10/30/1965, 3617 Fantages Way, West Gardiner , ME, 04345, Discover, 1531.66
female, Lana, Miller, 5/27/1977, 3541 Collins Street, Johnstown (cambria) , PA, 15903, MasterCard, 0.00
male, Richard, Brown, 4/5/1941, 3331 Peck Street, Londonderry , NH, 03053, Visa, 3199.25
male, Coy, Howard, 9/27/1967, 3743 Wyatt Street, Boynton Beach , FL, 33436, MasterCard, 9528.51
male, Kevin, Bunce, 2/29/1944, 2295 Randolph Street, Cambridge , MA, 02141, Visa, 6007.23
male, Drew, Miller, 5/22/1945, 1737 Mutton Town Road, Oak Harbor , WA, 98277, MasterCard, 14952.42
male, Arthur, Parsons, 4/17/1970, 4517 Hiddenview Drive, Line Lexington , PA, 18932, MasterCard, 2011.41
male, Abe, Prado, 7/24/1954, 4357 Armory Road, Fayetteville , NC, 28301, Visa, 9541.62
female, Carole, Ashcraft, 10/3/1955, 2571 Fulton Street, Princeton , WV, 24740, Visa, 8905.11
male, John, Wood, 2/27/1969, 278 Snyder Avenue, Charlotte , NC, 28202, Visa, 1620.34
female, Michelle, Sanchez, 7/9/1982, 758 Koontz Lane, Burbank , CA, 91504, Visa, 6279.24
male, Edgar, Herron, 5/7/1966, 1887 Raccoon Run, Seattle , WA, 98109, Discover, 3028.79
male, Raymond, Carter, 1/15/1969, 3419 Clousson Road, Houston , TX, 77002, MasterCard, 0.00
male, Timothy, Whitmore, 12/8/1977, 2285 Clifford Street, San Jose , CA, 95131, MasterCard, 0.00
female, Debra, Reed, 1/11/1962, 1784 Abner Road, Barron , WI, 54812, Discover, 5425.06
male, Robert, Cook, 8/4/1940, 3440 Lynn Ogden Lane, Beaumont , TX, 77708, Visa, 8590.63
female, Faustina, Salmons, 12/8/1977, 2738 Breezewood Court, Parsons , KS, 67357, Visa, 9338.73
female, Caroline, Cobb, 4/26/1953, 1883 Huntz Lane, Marlboro , MA, 01752, MasterCard, 0.00
female, Virginia, Ramirez, 9/17/1942, 334 Private Lane, Montgomery , GA, 36104, MasterCard, 0.00
female, Cheryl, House, 3/13/1943, 442 Marie Street, Laurel , MD, 20707, MasterCard, 3878.76
female, Cecilia, Bates, 2/8/1946, 3134 North Bend River Road, Jenkins , KY, 41537, MasterCard, 0.00
female, Elizabeth, Hatfield, 4/20/1984, 2502 Isaacs Creek Road, New Canton , IL, 62356, Discover, 5289.51
female, Krystal, Blount, 4/17/1967, 4961 Todds Lane, San Antonio , TX, 78225, MasterCard, 1653.34
female, Joan, Crow, 5/19/1962, 511 Cost Avenue, Gaithersburg , MD, 20877, MasterCard, 9020.69
male, Odell, Boyd, 5/7/1950, 1175 Broaddus Avenue, Russellville , KY, 42276, Discover, 4752.35
male, Nelson, Pickens, 4/7/1958, 4257 Ward Road, El Paso , TX, 79912, Discover, 4184.66
male, Thomas, Mann, 7/9/1971, 1444 Briercliff Road, Rego Park Queens , NY, 11734, MasterCard, 1979.88
male, Jesse, Dowdle, 1/10/1950, 3006 Goodwin Avenue, Pullman , WA, 99163, Visa, 5013.10
male, Craig, Officer, 4/30/1962, 921 Winifred Way, Indianapolis , IN, 46225, Discover, 0.00
male, Jesus, Dixon, 10/6/1944, 3862 Winifred Way, Indianapolis , IN, 46256, Visa, 3162.10
male, Henry, Koo, 12/15/1959, 684 White River Way, Salt Lake City , UT, 84116, Visa, 19042.81
male, Lino, Gomer, 11/1/1947, 3891 Ethels Lane, Lakeland , FL, 33813, MasterCard, 2290.58
female, Elizabeth, Martin, 11/20/1979, 2364 Tetrick Road, Haines City , FL, 33844, MasterCard, 5141.16
female, Alice, Hefner, 11/7/1985, 4246 Virginia Street, Chicago , IL, 60661, Visa, 1577.03
male, Carlos, Mcnamee, 10/1/1980, 4609 Arbor Court, Cheyenne , WY, 82001, Discover, 2778.23
male, Steve, Anderson, 6/13/1942, 1493 Hardesty Street, Albany , NY, 12206, Discover, 3695.88
female, Patsy, Burrell, 6/11/1952, 2120 Stroop Hill Road, Duluth , GA, 30097, Discover, 1828.38
male, Robert, Beebe, 10/11/1978, 396 Briarwood Drive, Camden , NJ, 08102, MasterCard, 0.00
female, Dominique, Ellis, 9/4/1964, 1620 Highland View Drive, Sacramento , CA, 95814, Discover, 3501.74
female, Rhonda, Hairston, 12/1/1964, 1623 Canis Heights Drive, Los Angeles , CA, 90007, Visa, 1121.07
female, Kate, Saenz, 11/9/1963, 552 Powder House Road, West Palm Beach , FL, 33417, MasterCard, 0.00
female, Georgetta, Baker, 10/19/1965, 4206 Coburn Hollow Road, Washburn , IL, 61570, Visa, 13181.17
male, Micheal, Kendrick, 2/1/1956, 3209 Rockford Road, Reno , NV, 89501, MasterCard, 11304.71
female, Sandra, Kelly, 7/19/1942, 239 Tully Street, Detroit , MI, 48219, Discover, 0.00
female, Sonia, Fields, 1/6/1971, 2351 Hanover Street, New York , NY, 10013, Visa, 25788.95
male, Frank, Gilliland, 9/29/1940, 3047 Monroe Street, Houston , TX, 77002, MasterCard, 5767.45
female, Bette, Ranger, 12/13/1971, 1494 Frosty Lane, Endicott , NY, 13760, Visa, 0.00
female, Gretchen, Ouellette, 8/3/1968, 715 Kincheloe Road, Portland , OR, 97229, Visa, 8276.72
female, Treva, Smith, 3/25/1971, 4063 Park Avenue, Sacramento , CA, 95817, Visa, 1787.33
female, Allison, Magno, 2/6/1940, 2903 Elk Street, El Toro , CA, 92630, Visa, 6414.91
female, Janeth, Calloway, 10/20/1949, 3982 Wilmar Farm Road, Washington , MD, 20004, Visa, 18148.16
female, Margaret, Strickland, 5/11/1984, 4990 Prospect Street, Camden , NJ, 08102, MasterCard, 6051.13
male, Luis, Mitchum, 6/20/1942, 1005 Irving Place, Hillsboro , MO, 63050, Visa, 2435.08
male, Glenn, Ownby, 8/30/1972, 2037 Florence Street, Tyler , TX, 75702, Visa, 0.00
male, Larry, Smith, 11/11/1973, 2047 Cherry Ridge Drive, Warren , MI, 48093, MasterCard, 2080.67
female, Karla, Takahashi, 9/5/1971, 1932 Veltri Drive, Anchorage , AK, 99501, Discover, 3676.08
female, Susan, Pogue, 7/19/1956, 1080 Vineyard Drive, Garfield Heights , OH, 44128, Visa, 11105.00
female, Lorie, Mitchell, 10/22/1949, 3028 Saint Francis Way, Philadelphia , PA, 19103, Visa, 4370.31
male, Douglas, Estes, 5/8/1977, 2235 Park Avenue, Sacramento , CA, 95814, Visa, 0.00
female, Pam, Moore, 4/13/1959, 764 Austin Avenue, Savannah , GA, 31405, Visa, 6705.69
male, George, Owens, 5/29/1964, 108 Ashford Drive, Dale City , VA, 22193, MasterCard, 5942.02
male, Jordon, Fritts, 2/20/1944, 2671 Twin House Lane, Springfield , MO, 65802, Visa, 13577.01
female, Mary, Langevin, 6/12/1977, 2712 Thrash Trail, Hallsville , TX, 75650, Visa, 6993.04
female, Margaret, Phillips, 1/5/1977, 2851 Giraffe Hill Drive, Plano , TX, 75074, MasterCard, 1995.95
male, Fred, Teague, 6/11/1962, 2222 Quincy Street, Horsham , PA, 19044, MasterCard, 0.00
female, Ginette, Parks, 8/27/1983, 2652 Milford Street, Londonderry , NH, 03053, MasterCard, 2915.38
female, Lara, Salazar, 11/2/1945, 3924 Wilson Avenue, Dallas , TX, 75240, Visa, 4815.09
male, Kurt, Jackson, 11/7/1984, 3779 Norman Street, Long Beach , CA, 90802, Visa, 4826.16
male, Joshua, Larkins, 10/16/1982, 4475 Fincham Road, La Mesa , CA, 91941, Visa, 2761.42
female, Mittie, Swarey, 11/11/1976, 1445 Quilly Lane, Columbus , OH, 43215, MasterCard, 13240.35
male, Lamont, Bagley, 4/6/1944, 2414 Freed Drive, Stockton , CA, 95202, MasterCard, 7058.98
male, Emmanuel, Holland, 11/23/1956, 3287 Jehovah Drive, Woodstock , VA, 22664, Visa, 15804.03
male, Karl, Pence, 10/30/1983, 3886 Fairfield Road, Pewaukee , WI, 53072, Visa, 10294.68
male, Robert, Mansfield, 9/1/1974, 556 Honeysuckle Lane, Aberdeen , WA, 98520, Discover, 0.00
male, Louie, Pickett, 7/20/1942, 4423 Cheshire Road, New York , CT, 10011, Visa, 5531.58
female, Margaret, Small, 3/13/1965, 2979 Rowes Lane, Owensboro , KY, 42301, MasterCard, 11368.76
male, Pedro, Faust, 1/28/1966, 2418 Fieldcrest Road, New York , NY, 10011, MasterCard, 5413.74
male, Randal, Huynh, 4/9/1962, 1253 Grove Avenue, Manitou , OK, 73555, Visa, 0.00
male, David, Wiggins, 10/5/1978, 4709 Public Works Drive, Chattanooga , TN, 37421, Visa, 0.00
female, Sandra, Melendrez, 4/23/1950, 1122 Coleman Avenue, Baker , CA, 92309, MasterCard, 8266.37
female, Kim, Sheffield, 9/30/1965, 4968 Fairfield Road, Town Of Brookfield , WI, 53186, Visa, 7281.77
male, Bobby, Long, 12/11/1984, 2989 Hillhaven Drive, Los Angeles , CA, 90017, Visa, 2441.55
male, Donald, Pritchett, 11/7/1963, 2184 Andy Street, Sioux Falls , SD, 57102, MasterCard, 0.00
